defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000218	http://purl.obolibrary.org/obo/GO_0007519-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000219	http://purl.obolibrary.org/obo/BSPO_0000077-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000220	http://purl.obolibrary.org/obo/BSPO_0000078-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000221	http://purl.obolibrary.org/obo/BSPO_0000196-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000222	http://purl.obolibrary.org/obo/BSPO_0000075-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000223	http://purl.obolibrary.org/obo/GO_0097479-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000224	http://purl.obolibrary.org/obo/GO_0016460-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000225	http://purl.obolibrary.org/obo/BSPO_0000076-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000226	http://purl.obolibrary.org/obo/BSPO_0000197-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000227	http://purl.obolibrary.org/obo/GO_0099536-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000228	http://purl.obolibrary.org/obo/BSPO_0000073-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000229	http://purl.obolibrary.org/obo/GO_0099537-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000230	http://purl.obolibrary.org/obo/BSPO_0000074-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000231	http://purl.obolibrary.org/obo/GO_0016477-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000232	http://purl.obolibrary.org/obo/GO_0042886-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000233	http://purl.obolibrary.org/obo/GO_0016358-abnormal.tsv
